A	397557	0.0811809
B	81528	0.016648
C	159179	0.0325042
D	181968	0.0371577
E	603146	0.123162
F	107558	0.0219633
G	99350	0.0202872
H	244957	0.0500201
I	358184	0.0731409
J	7916	0.00161644
K	35825	0.00731544
L	206277	0.0421216
M	121632	0.0248372
N	348363	0.0711355
O	365455	0.0746257
P	105860	0.0216165
Q	5268	0.00107572
R	313089	0.0639326
S	326767	0.0667256
T	449222	0.0917308
U	133871	0.0273364
V	52896	0.0108013
W	90880	0.0185576
X	10101	0.00206262
Y	87164	0.0177988
Z	3163	0.000645882
